Date,zone,centre,Price
03-02-93,1,LUCKNOW,350
03-02-93,1,KANPUR,340
03-02-93,1,CHANDIGARH,325
03-02-93,1,DELHI,350
03-02-93,2,AHMEDABAD,550
03-02-93,2,RAJKOT,380
03-02-93,2,PANAJI,620
03-02-93,2,BHOPAL,400
03-02-93,2,INDORE,380
03-02-93,2,MUMBAI,500
03-02-93,2,NAGPUR,428
03-02-93,2,JAIPUR,370
03-02-93,2,JODHPUR,375
03-02-93,3,GUWAHATI,420
03-02-93,3,PATNA,NA
03-02-93,3,SHILLONG,460
03-02-93,3,AIZAWL,NA
03-02-93,3,BHUBANESHWAR,NA
03-02-93,3,CUTTACK,NA
03-02-93,3,KOLKATA,NA
03-02-93,3,AGARTALA,NA
03-02-93,4,HYDERABAD,555
03-02-93,4,VIJAYAWADA,705
03-02-93,4,BANGALORE,NA
03-02-93,4,THIRUVANANTHAPURAM,NA
03-02-93,4,ERNAKULAM,NA
03-02-93,4,CHENNAI,631
03-02-93,4,MADURAI,540
03-02-93,4,PONDICHERRY,660
10-02-93,1,HISAR,330
10-02-93,1,KARNAL,325
10-02-93,1,SHIMLA,NA
10-02-93,1,MANDI,NA
10-02-93,1,SRINAGAR,NA
10-02-93,1,JAMMU,NA
10-02-93,1,AMRITSAR,339
10-02-93,1,LUDHIANA,317
10-02-93,1,LUCKNOW,350
10-02-93,1,KANPUR,340
10-02-93,1,CHANDIGARH,NA
10-02-93,1,DELHI,350
10-02-93,2,AHMEDABAD,550
10-02-93,2,RAJKOT,375
10-02-93,2,PANAJI,600
10-02-93,2,BHOPAL,400
10-02-93,2,INDORE,375
10-02-93,2,MUMBAI,500
10-02-93,2,NAGPUR,420
10-02-93,2,JAIPUR,340
10-02-93,2,JODHPUR,350
10-02-93,3,GUWAHATI,NA
10-02-93,3,PATNA,520
10-02-93,3,SHILLONG,NA
10-02-93,3,AIZAWL,NA
10-02-93,3,BHUBANESHWAR,NA
10-02-93,3,CUTTACK,NA
10-02-93,3,KOLKATA,NA
10-02-93,3,AGARTALA,NA
10-02-93,4,HYDERABAD,555
10-02-93,4,VIJAYAWADA,700
10-02-93,4,BANGALORE,690
10-02-93,4,THIRUVANANTHAPURAM,NA
10-02-93,4,ERNAKULAM,680
10-02-93,4,CHENNAI,611
10-02-93,4,MADURAI,580
10-02-93,4,PONDICHERRY,NA
17-02-93,1,HISAR,NA
17-02-93,1,KARNAL,NA
17-02-93,1,SHIMLA,NA
17-02-93,1,MANDI,336
17-02-93,1,SRINAGAR,NA
17-02-93,1,JAMMU,NA
17-02-93,1,AMRITSAR,NA
17-02-93,1,LUDHIANA,NA
17-02-93,1,LUCKNOW,330
17-02-93,1,KANPUR,340
17-02-93,1,CHANDIGARH,317
17-02-93,1,DELHI,340
17-02-93,2,AHMEDABAD,490
17-02-93,2,RAJKOT,375
17-02-93,2,PANAJI,580
17-02-93,2,BHOPAL,NA
17-02-93,2,INDORE,NA
17-02-93,2,MUMBAI,500
17-02-93,2,NAGPUR,418
17-02-93,2,JAIPUR,NA
17-02-93,2,JODHPUR,NA
17-02-93,3,GUWAHATI,NA
17-02-93,3,PATNA,NA
17-02-93,3,SHILLONG,NA
17-02-93,3,AIZAWL,NA
17-02-93,3,BHUBANESHWAR,NA
17-02-93,3,CUTTACK,NA
17-02-93,3,KOLKATA,NA
17-02-93,3,AGARTALA,NA
17-02-93,4,HYDERABAD,555
17-02-93,4,VIJAYAWADA,650
17-02-93,4,BANGALORE,NA
17-02-93,4,THIRUVANANTHAPURAM,NA
17-02-93,4,ERNAKULAM,NA
17-02-93,4,CHENNAI,601
17-02-93,4,MADURAI,580
17-02-93,4,PONDICHERRY,NA
24-02-93,1,HISAR,NA
24-02-93,1,KARNAL,310
24-02-93,1,SHIMLA,NA
24-02-93,1,MANDI,336
