"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","147 Average","19/02/2023","1800","2000","1900","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","02/01/2023","2000","2000","2000","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","04/01/2023","1600","1800","1700","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","05/01/2023","2000","2160","2100","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","06/01/2023","2080","2500","2300","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","08/01/2023","2200","2500","2400","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","10/01/2023","2000","2500","2200","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","11/01/2023","2200","2500","2300","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","14/01/2023","2200","2600","2400","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","15/01/2023","2200","2600","2500","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","16/01/2023","2000","2200","2100","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","17/01/2023","2000","2000","2000","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","18/01/2023","2200","2500","2300","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","19/01/2023","2000","2100","2000","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","21/01/2023","2000","2150","2100","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","22/01/2023","2300","2500","2500","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","24/01/2023","2200","2700","2500","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","25/01/2023","2000","2200","2100","2023-10-11"
"Madhya Pradesh","Alirajpur","Alirajpur","Wheat","Other","26/01/2023","2000","2200","2100","2023-10-11"
